,,,,,,,,,,,,,,
, Total occurences , , , , , , ,   Number of files using the predicate , , , , , , 
,,,,,,,,,,,,,,
, , Orca ,  f4w  , dissect  , eye , cwm , all , ,  Orca ,  f4w  , dissect  , eye , cwm , all  
func:make-list , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:count , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:get , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:sublist , ,0,0,3,76,0,79,  ,0,0,2,2,0,4
func:reverse , ,0,0,3,22,0,25,  ,0,0,2,2,0,4
func:index-of , ,0,0,3,29,0,32,  ,0,0,2,2,0,4
e:biconditional , ,0,0,0,9,0,9,  ,0,0,0,3,0,3
e:compoundTerm , ,0,0,0,11,0,11,  ,0,0,0,3,0,3
e:csvTuple , ,0,0,0,47,0,47,  ,0,0,0,3,0,3
e:graphMember , ,0,0,0,4,0,4,  ,0,0,0,3,0,3
e:tuple , ,0,7,0,0,0,7,  ,0,3,0,0,0,3
string:lessThan , ,0,0,0,0,6,6,  ,0,0,0,0,3,3
string:matches , ,0,0,3,8,0,11,  ,0,0,2,1,0,3
e:avg , ,0,0,0,10,0,10,  ,0,0,0,2,0,2
e:cov , ,0,0,0,10,0,10,  ,0,0,0,2,0,2
e:format , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
e:graphCopy , ,0,0,0,17,0,17,  ,0,0,0,2,0,2
e:graphDifference , ,0,0,0,49,0,49,  ,0,0,0,2,0,2
e:graphIntersection , ,0,0,0,48,0,48,  ,0,0,0,2,0,2
e:hmac-sha , ,0,0,0,3,0,3,  ,0,0,0,2,0,2
e:multisetEqualTo , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
e:multisetNotEqualTo , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
e:pcc , ,0,0,0,10,0,10,  ,0,0,0,2,0,2
e:propertyChainExtension , ,1,0,0,1,0,2,  ,1,0,0,1,0,2
e:rms , ,0,0,0,10,0,10,  ,0,0,0,2,0,2
e:sha , ,0,0,0,3,0,3,  ,0,0,0,2,0,2
e:skolem , ,0,3,0,0,0,3,  ,0,2,0,0,0,2
e:std , ,0,0,0,10,0,10,  ,0,0,0,2,0,2
e:stringEscape , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
